iter	MultiClass
0	1.376734612
1	1.369702088
2	1.36349062
3	1.357436208
4	1.353016794
5	1.348077352
6	1.343504092
7	1.341532033
8	1.338596605
9	1.335269824
10	1.332046063
11	1.329355397
12	1.327196686
13	1.32403761
14	1.321869541
15	1.319710585
16	1.317103023
17	1.314705249
18	1.312620796
19	1.310439764
20	1.308942109
21	1.307464106
22	1.306480796
23	1.305066063
24	1.303242653
25	1.30141005
26	1.299632075
27	1.298088997
28	1.296571415
29	1.295368289
30	1.294023935
31	1.29233628
32	1.292318792
33	1.290414314
34	1.288951601
35	1.288074694
36	1.286019134
37	1.284781153
38	1.283444615
39	1.281791759
40	1.279766364
41	1.278732991
42	1.276710982
43	1.275677102
44	1.275547407
45	1.27489487
46	1.274423746
47	1.272724496
48	1.271561643
49	1.270127434
50	1.268796737
51	1.267067077
52	1.266620823
53	1.266034544
54	1.265165131
55	1.264809438
56	1.26342916
57	1.2616629
58	1.260835746
59	1.260016327
60	1.259722642
61	1.258979745
62	1.257836786
63	1.256793557
64	1.255738746
65	1.25478523
66	1.254266371
67	1.253138288
68	1.252548049
69	1.251318552
70	1.250643153
71	1.250398925
72	1.249773173
73	1.248628978
74	1.246912525
75	1.246122256
76	1.245741028
77	1.245022299
78	1.244304441
79	1.243407163
80	1.242933386
81	1.242933384
82	1.242244187
83	1.241642547
84	1.240279301
85	1.240227743
86	1.239234911
87	1.238854011
88	1.237862133
89	1.237128733
90	1.236450281
91	1.235949612
92	1.235907594
93	1.235580255
94	1.234255717
95	1.233824056
96	1.23243027
97	1.232149657
98	1.230512025
99	1.229631187
100	1.22883479
101	1.227603557
102	1.227028258
103	1.225674844
104	1.224124201
105	1.223630477
106	1.222775273
107	1.222468551
108	1.220938982
109	1.220336149
110	1.219651386
111	1.219195859
112	1.218574934
113	1.217965796
114	1.217306798
115	1.216096458
116	1.214881505
117	1.214264297
118	1.213824803
119	1.212995308
120	1.211419044
121	1.209995058
122	1.209238098
123	1.208484321
124	1.208037683
125	1.206648157
126	1.206204857
127	1.20571175
128	1.20519449
129	1.204755046
130	1.203336429
131	1.20222959
132	1.201291489
133	1.200233899
134	1.199103504
135	1.198300125
136	1.197225242
137	1.196136804
138	1.194651042
139	1.192840394
140	1.191754931
141	1.190841254
142	1.190408051
143	1.18951144
144	1.1881677
145	1.187761962
146	1.18738078
147	1.186493189
148	1.185650789
149	1.184375929
150	1.183196095
151	1.181850019
152	1.1812801
153	1.180484297
154	1.179576896
155	1.177921239
156	1.177103333
157	1.176371629
158	1.175927527
159	1.175498999
160	1.17493233
161	1.174302001
162	1.173449466
163	1.172700689
164	1.172282923
165	1.171440801
166	1.170561325
167	1.169036698
168	1.16858892
169	1.167618853
170	1.166997271
171	1.16627528
172	1.16504987
173	1.163649063
174	1.162999281
175	1.161874613
176	1.161520268
177	1.160441973
178	1.159697948
179	1.15824518
180	1.157618851
181	1.15715723
182	1.156693221
183	1.156384245
184	1.155973892
185	1.155395833
186	1.155005298
187	1.154707757
188	1.154042843
189	1.153372322
190	1.152793996
191	1.15220675
192	1.151135137
193	1.150236474
194	1.149596049
195	1.14874179
196	1.148412673
197	1.148084292
198	1.147484663
199	1.146968305
200	1.145947382
201	1.145486287
202	1.145097377
203	1.14412277
204	1.142952491
205	1.142627963
206	1.142335586
207	1.142017866
208	1.14092741
209	1.13972081
210	1.139064443
211	1.138577085
212	1.138000945
213	1.137051851
214	1.136295757
215	1.135996828
216	1.134709833
217	1.13363455
218	1.133364186
219	1.132485735
220	1.132014161
221	1.131501946
222	1.130683918
223	1.130274789
224	1.129288501
225	1.128428335
226	1.127677013
227	1.12718387
228	1.126966011
229	1.126693459
230	1.125611918
231	1.12494293
232	1.123854016
233	1.123294917
234	1.122662696
235	1.121684358
236	1.121084363
237	1.120853526
238	1.120013195
239	1.119104633
240	1.118867493
241	1.118451257
242	1.118256452
243	1.117745924
244	1.117093025
245	1.116126242
246	1.115382985
247	1.114656558
248	1.114105865
249	1.113149805
250	1.112411686
251	1.111667858
252	1.111006591
253	1.110447083
254	1.10971772
255	1.109004428
256	1.108246898
257	1.108112708
258	1.107655084
259	1.107093306
260	1.1066094
261	1.106143611
262	1.105866665
263	1.105563933
264	1.104850308
265	1.104552677
266	1.104158892
267	1.103276623
268	1.102926542
269	1.102571867
270	1.102257238
271	1.101706763
272	1.101375937
273	1.100952448
274	1.100543638
275	1.099794763
276	1.099250622
277	1.098907353
278	1.098638411
279	1.09823391
280	1.098062147
281	1.097988453
282	1.097764093
283	1.097321427
284	1.097218277
285	1.097048719
286	1.096630349
287	1.096327981
288	1.09554343
289	1.09486103
290	1.094631121
291	1.094004368
292	1.093699181
293	1.093108358
294	1.092817109
