iter	Passed	Remaining
0	164	164222
1	180	90275
2	193	64231
3	207	51754
4	217	43305
5	230	38233
6	242	34339
7	246	30546
8	253	27882
9	261	25917
10	269	24217
11	276	22773
12	281	21339
13	287	20242
14	293	19296
15	299	18432
16	305	17675
17	311	16993
18	317	16372
19	325	15964
20	331	15463
21	337	15014
22	342	14540
23	348	14158
24	353	13798
25	359	13461
26	365	13172
27	371	12896
28	376	12590
29	382	12351
30	388	12128
31	393	11911
32	396	11624
33	402	11447
34	408	11273
35	413	11067
36	419	10913
37	424	10757
38	430	10615
39	437	10494
40	442	10361
41	454	10358
42	465	10369
43	475	10326
44	480	10189
45	489	10152
46	494	10034
47	502	9962
48	508	9876
49	515	9790
50	520	9693
51	527	9607
52	530	9483
53	534	9360
54	540	9281
55	544	9174
56	550	9113
57	557	9061
58	562	8971
59	568	8904
60	573	8822
61	577	8738
62	583	8680
63	589	8619
64	596	8574
65	601	8512
66	605	8434
67	610	8366
68	616	8319
69	620	8247
70	624	8177
71	629	8108
72	634	8061
73	640	8020
74	647	7981
75	652	7938
76	657	7877
77	663	7837
78	668	7796
79	674	7755
80	680	7717
81	682	7645
82	688	7606
83	694	7568
84	700	7541
85	703	7480
86	709	7445
87	712	7387
88	718	7354
89	723	7317
90	729	7287
91	733	7235
92	736	7179
93	739	7127
94	745	7102
95	751	7074
96	756	7046
97	760	7002
98	767	6985
99	773	6961
100	779	6939
101	785	6918
102	791	6896
103	797	6874
104	804	6860
105	809	6824
106	815	6802
107	819	6768
108	825	6750
109	831	6724
110	837	6703
111	843	6685
112	848	6662
113	854	6642
114	860	6620
115	866	6604
116	873	6591
117	879	6572
118	885	6553
119	890	6530
120	895	6507
121	901	6489
122	907	6470
123	913	6451
124	918	6429
125	924	6412
126	930	6392
127	935	6372
128	941	6354
129	946	6337
130	952	6321
131	958	6304
132	964	6290
133	970	6274
134	977	6260
135	983	6245
136	989	6231
137	995	6218
138	1002	6207
139	1008	6194
140	1014	6182
141	1021	6169
142	1026	6153
143	1033	6141
144	1038	6125
145	1044	6109
146	1050	6095
147	1055	6078
148	1061	6062
149	1068	6054
150	1074	6040
151	1081	6031
152	1086	6014
153	1092	6003
154	1100	6002
155	1107	5989
156	1112	5975
157	1118	5962
158	1124	5946
159	1130	5934
160	1136	5921
161	1141	5907
162	1147	5892
163	1153	5881
164	1159	5867
165	1165	5854
166	1171	5841
167	1177	5833
168	1183	5818
169	1189	5806
170	1195	5795
171	1201	5783
172	1207	5773
173	1213	5762
174	1219	5750
175	1226	5740
176	1231	5727
177	1238	5720
178	1244	5707
179	1250	5696
180	1256	5685
181	1261	5671
182	1267	5659
183	1273	5647
184	1278	5633
185	1284	5623
186	1290	5610
187	1295	5597
188	1301	5584
189	1307	5572
190	1312	5560
191	1318	5550
192	1325	5542
193	1331	5531
194	1337	5522
195	1343	5510
196	1348	5498
197	1354	5486
198	1360	5474
199	1365	5462
200	1372	5454
201	1377	5442
202	1383	5432
203	1389	5423
204	1395	5412
205	1401	5401
